id,lmfdb_label,rank,torsion
1,11.a1,0,1
0,11.a2,0,5
2,11.a3,0,5
7,14.a1,0,2
5,14.a2,0,2
4,14.a3,0,6
8,14.a4,0,6
6,14.a5,0,6
3,14.a6,0,6
13,15.a1,0,2
10,15.a2,0,4
14,15.a3,0,2
15,15.a4,0,4
9,15.a5,0,8
11,15.a6,0,8
16,15.a7,0,4
12,15.a8,0,8
19,17.a1,0,2
18,17.a2,0,4
17,17.a3,0,4
20,17.a4,0,4
22,19.a1,0,1
21,19.a2,0,3
23,19.a3,0,3
27,20.a1,0,2
26,20.a2,0,2
25,20.a3,0,6
24,20.a4,0,6
32,21.a1,0,2
29,21.a2,0,4
30,21.a3,0,8
33,21.a4,0,2
28,21.a5,0,8
31,21.a6,0,4
38,24.a1,0,2
36,24.a2,0,4
35,24.a3,0,4
34,24.a4,0,8
37,24.a5,0,4
39,24.a6,0,2
41,26.a1,0,1
40,26.a2,0,3
42,26.a3,0,3
44,26.b1,0,1
43,26.b2,0,7
46,27.a1,0,1
48,27.a2,0,3
45,27.a3,0,3
47,27.a4,0,3
55,30.a1,0,2
56,30.a2,0,2
54,30.a3,0,4
53,30.a4,0,6
52,30.a5,0,6
50,30.a6,0,12
51,30.a7,0,2
49,30.a8,0,6
59,32.a1,0,2
60,32.a2,0,4
58,32.a3,0,4
57,32.a4,0,4
63,33.a1,0,4
61,33.a2,0,4
62,33.a3,0,2
64,33.a4,0,2
68,34.a1,0,2
67,34.a2,0,2
66,34.a3,0,6
65,34.a4,0,6
70,35.a1,0,1
71,35.a2,0,3
69,35.a3,0,3
75,36.a1,0,2
73,36.a2,0,6
74,36.a3,0,2
72,36.a4,0,6
76,37.a1,1,1
78,37.b1,0,1
77,37.b2,0,3
79,37.b3,0,3
81,38.a1,0,1
82,38.a2,0,3
80,38.a3,0,3
84,38.b1,0,1
83,38.b2,0,5
86,39.a1,0,2
87,39.a2,0,4
85,39.a3,0,4
88,39.a4,0,2
90,40.a1,0,2
89,40.a2,0,4
91,40.a3,0,4
92,40.a4,0,4
96,42.a1,0,4
97,42.a2,0,2
95,42.a3,0,4
94,42.a4,0,8
93,42.a5,0,8
98,42.a6,0,2
99,43.a1,1,1
